p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.29616287528651,0.627,0.279,0,0,Sox2ot
0,1.5335051703758786,0.94,0.616,0,0,Btg1
0,0.8950888650009967,0.384,0.147,0,0,Prokr2
0,0.5718932154533878,0.647,0.295,0,0,Sp9
0,0.4234537929381883,0.655,0.251,0,0,Pbx3
1.7907396443651797e-275,0.5386762138038055,0.296,0.102,4.831594634461691e-271,0,Gm48259
3.182410674677365e-274,0.8676523966004872,0.787,0.513,8.586462241346999e-270,0,Nrep
8.769757304956446e-254,0.4606516606731814,0.612,0.33,2.3661682184502986e-249,0,Nrxn3
1.6408876534802476e-212,0.47526646539623796,0.302,0.12,4.427278977855056e-208,0,Gm27032
6.064994414055802e-205,0.6988751959314194,0.429,0.214,1.636396142856396e-200,0,Brinp2
1.6509220161221645e-200,0.89321173143014,0.415,0.209,4.454352691699212e-196,0,Zfp704
1.9732125973042435e-199,1.801444279947154,0.556,0.319,5.3239249087865794e-195,0,Robo2
1.0302539042001112e-193,0.4682183124024162,0.612,0.37,2.7797280589223202e-189,0,Zfp57
3.3896667984410493e-180,0.34562648874048896,0.416,0.211,9.145659988873795e-176,0,Grip1
3.4338988202783514e-160,0.3878504606041673,0.216,0.083,9.26500240699302e-156,0,Adra2b
9.754515583703141e-154,1.787511436130779,0.602,0.388,2.6318658496389444e-149,0,Mpped2
8.464121987514301e-147,0.47577451826896155,0.323,0.159,2.2837047534512337e-142,0,Shtn1
8.818206393454679e-146,0.7147545653535208,0.463,0.269,2.3792402670180068e-141,0,Gm43188
1.928509578960578e-126,0.4846806127967768,0.222,0.097,5.203311694993535e-122,0,Gm49001
4.512032258585215e-118,0.5219349466894101,0.238,0.111,1.2173914236888767e-113,0,Tenm4
1.0033790190631033e-112,0.3767651500253526,0.35,0.195,2.707216931334159e-108,0,Arx
3.1241916676626703e-098,4.009244819729381,0.572,0.388,8.429381538520651e-94,0,Rbfox2
5.9689659690148125e-96,0.39958482254270555,0.26,0.136,1.6104867080998866e-91,0,Gm14204
7.447106796195289e-95,0.46033488887717866,0.233,0.117,2.009303884681451e-90,0,Bambi
5.858665325436107e-79,0.2705041803821038,0.25,0.138,1.5807264914559161e-74,0,Frat2
1.3678139511452552e-71,0.2680693553765429,0.245,0.138,3.690498821585013e-67,0,Cd1d1
5.795133136101417e-65,0.3310807510350644,0.165,0.083,1.5635848714515232e-60,0,Tmem123
5.740961157110675e-62,0.34289074660941044,0.332,0.216,1.5489687298000312e-57,0,Gm42992
7.945332805799107e-44,0.4216487019417047,0.176,0.103,2.143730244332657e-39,0,Meis1
1.2890157828043216e-32,0.2925358870645238,0.389,0.298,3.4778934835843403e-28,0,Spaca6
3.4238893200886247e-9,0.4727742055884967,0.378,0.413,9.237995774531118e-5,0,Rpl7a
0,4.862487463802665,0.942,0.63,0,1,Btg1
0,0.9031369411112782,0.558,0.199,0,1,Tiam2
3.1401598928938465e-263,1.3816466529403837,0.51,0.212,8.472465407016888e-259,1,Zfp704
8.49147556923129e-192,0.6750627411246048,0.544,0.264,2.2910850233342943e-187,1,Dlx6os1
1.1431963474693713e-182,0.9242533200239769,0.627,0.341,3.084458065107111e-178,1,Nrxn3
1.645365700471406e-162,0.8001687646520621,0.376,0.158,4.439361196441901e-158,1,Prokr2
8.533467215180443e-154,1.8497305171334109,0.597,0.356,2.3024147893278353e-149,1,Nfix
5.841208878221839e-146,1.050468255894323,0.642,0.395,1.5760165674330344e-141,1,Mpped2
2.910637258298759e-132,4.495248319358488,0.451,0.245,7.853190386615882e-128,1,Med22
1.0726829589297886e-111,0.7039328168647422,0.277,0.119,2.8942058914884627e-107,1,Bambi
1.662816314834509e-108,0.6256157874388275,0.421,0.224,4.4864446990549886e-104,1,Brinp2
2.3839606834969545e-108,0.5605411190377164,0.303,0.139,6.432164320143133e-104,1,Gm14204
1.190875568184995e-103,0.9110682877235057,0.458,0.265,3.213101370519935e-99,1,Pcdh9
5.559460369950405e-103,0.36829959459689743,0.33,0.161,1.499998002416319e-98,1,Mycn
4.452965346594485e-98,0.6458674049081881,0.485,0.287,1.201454580164658e-93,1,Carhsp1
6.045230929134055e-98,0.6259593779844073,0.598,0.382,1.6310637569896594e-93,1,Zfp57
8.817338814836587e-84,0.38763658298786663,0.302,0.15,2.3790061856310596e-79,1,Dlx6
4.381728334453273e-82,0.5076972689972677,0.291,0.147,1.1822341219188376e-77,1,Msra
2.9819706337692335e-74,2.621063173853546,0.161,0.332,8.04565496697277e-70,1,Carmil1
5.208160505524038e-69,0.4042368938895377,0.219,0.103,1.4052137859954407e-64,1,Gm49001
7.177698579776384e-65,0.42606745227874976,0.657,0.481,1.936614853809466e-60,1,Dbn1
1.0566944926750348e-62,0.3167588526713867,0.302,0.168,2.8510674106865115e-58,1,Shtn1
1.7531831976629924e-62,0.27231265969587115,0.498,0.333,4.73026358561452e-58,1,Robo2
4.712987687869831e-61,16.54471472657962,0.577,0.662,1.271611208064159e-56,1,Prdx1
9.709697589117749e-60,0.28005922408421635,0.347,0.206,2.6197735065198598e-55,1,Nol4
