p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.7109708688248165e-158,0.41632191028022447,0.412,0.212,4.6163705011762375e-154,0,Zfp704
1.880958258525331e-125,0.31534376024805655,0.21,0.085,5.0750134773271955e-121,0,Adra2b
4.3170867127424195e-124,0.4518012496533884,0.271,0.126,1.1647931659650322e-119,0,Gm27032
3.291505202515171e-108,0.26482163818842797,0.213,0.093,8.880810186906182e-104,0,Gm37100
5.3907398056851595e-99,0.2894738490055862,0.217,0.1,1.454475506971913e-94,0,Gm49001
1.8209585758160977e-93,0.2710773395573661,0.232,0.111,4.913128333409413e-89,0,Gm48259
8.207745944586754e-89,0.6179839392259873,0.236,0.119,2.214531933308952e-84,0,Bambi
1.4759312358826927e-35,0.9127010367323529,0.277,0.187,3.982210067535093e-31,0,Socs2
2.2035737538201674e-27,0.2591179742757418,0.141,0.086,5.945462345182193e-23,0,Tmem123
0,1.3463313025587595,0.681,0.268,0,1,Pbx3
0,1.1955227277591933,0.377,0.087,0,1,C130073E24Rik
0,0.37518449948392574,0.49,0.125,0,1,Dync1i1
2.1827936387058415e-290,0.9749362525977832,0.327,0.091,5.889395516592231e-286,1,2900079G21Rik
6.07164897230094e-281,0.8949255904733378,0.44,0.155,1.6381916092165166e-276,1,Prokr2
1.7200354343107737e-275,0.9003571866925193,0.561,0.246,4.6408276053138985e-271,1,Gnai1
1.5695444275900954e-262,0.7195406628856063,0.623,0.294,4.234787820080836e-258,1,Sox2ot
1.5728046047395065e-210,0.683667911219232,0.343,0.122,4.2435841040476623e-206,1,Il1rapl1
2.337992634979458e-208,0.3536819987665316,0.81,0.523,6.3081379284380755e-204,1,Nrep
5.624462660203894e-201,0.8408547953683532,0.487,0.22,1.5175362703496127e-196,1,Brinp2
2.1098251468332305e-200,0.563089638321292,0.271,0.084,5.692519228670739e-196,1,Dusp4
2.4717414516012326e-192,0.6070360728155031,0.28,0.091,6.669005610565285e-188,1,Ccsap
6.875022065696225e-183,0.458335131385028,0.335,0.124,1.8549497035454986e-178,1,Rpp25
9.615618100833966e-181,0.5006601160942791,0.269,0.088,2.5943899197860126e-176,1,Mpped1
3.3745158216694664e-178,0.6914224979311193,0.286,0.098,9.104781138446387e-174,1,Meis1
1.5079718946362677e-168,0.874081218378449,0.527,0.274,4.068658968918114e-164,1,Gm43188
2.210902149165616e-167,0.5285663480753027,0.464,0.218,5.965235088663748e-163,1,Grip1
1.1398211037539775e-162,0.5738556427231021,0.299,0.111,3.0753513200386068e-158,1,Gm48259
2.396337024857791e-160,1.5826716929347144,0.448,0.219,6.465556926768806e-156,1,Macrod2
5.1550305419649195e-157,0.6868769226283793,0.335,0.137,1.390878790527555e-152,1,Frat2
3.4783393171650157e-151,0.41796458380426715,0.618,0.343,9.384907311642928e-147,1,Nrxn3
3.255812429271374e-147,0.33748788309216715,0.155,0.039,8.784507515417094e-143,1,Camk4
1.1546834087500225e-133,0.27492364034475214,0.571,0.328,3.1154513051484354e-129,1,Robo2
5.352823585473347e-130,0.6874807825440965,0.426,0.214,1.4442453315965639e-125,1,Gm42992
4.664476476660234e-120,0.49612121402595333,0.3,0.129,1.2585223981676978e-115,1,Gm27032
1.168402708402337e-117,0.4979035704526301,0.297,0.129,3.152467347540345e-113,1,Recql
2.69967123908244e-110,0.3789425447282124,0.245,0.099,7.283982970168332e-106,1,Sh3gl2
2.8575540577644625e-103,1.2296070373447145,0.704,0.5,7.709966603254297e-99,1,Ccdc88a
