p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.9383054586215258,0.582,0.287,0,0,Sox2ot
0,1.6771169654138458,0.489,0.137,0,0,Prokr2
0,0.9676264193334512,0.499,0.208,0,0,Brinp2
0,0.6482574008959334,0.244,0.066,0,0,Sfrp2
0,0.6298734204459551,0.463,0.196,0,0,Tiam2
0,0.5809817682003935,0.647,0.328,0,0,Nrxn3
8.507645108393392e-302,0.5080422012477577,0.854,0.603,2.2954477266956212e-297,0,Auts2
5.438016521589484e-298,1.0705192272027415,0.462,0.206,1.4672312376900588e-293,0,Zfp704
1.1400595789576103e-210,0.5298729396129903,0.303,0.121,3.0759947499855287e-206,0,Gm27032
6.129585063020604e-205,0.5742001090114626,0.315,0.132,1.653823345853589e-200,0,Frat2
2.3375457568439886e-199,0.3803652437879774,0.354,0.162,6.306932206540766e-195,0,Pls3
2.3094119531641706e-198,0.5062511243598307,0.62,0.373,6.231024390832249e-194,0,Zfp57
2.279842445476917e-187,1.9322799575356306,0.618,0.39,6.15124290214127e-183,0,Mpped2
1.6923362769642825e-178,0.45010327624891855,0.419,0.213,4.566092508877331e-174,0,Grip1
1.4950100381158747e-172,0.5077994768154803,0.215,0.078,4.0336865838404415e-168,0,Tmem123
1.763552580524175e-169,0.4544458075437741,0.261,0.107,4.758241217512277e-165,0,Gm48259
1.0019041069068444e-167,0.962538305744471,0.705,0.498,2.703237470845357e-163,0,Ccdc88a
1.5392941819991324e-162,0.8450295060510009,0.542,0.324,4.153169632451859e-158,0,Robo2
1.2496226085839896e-157,1.2932287496576058,0.472,0.269,3.3716067602204626e-153,0,Gm43188
3.187255213400814e-157,0.5849993962369662,0.379,0.193,8.599533291276737e-153,0,Arx
6.311273855627029e-144,0.6614271007739826,0.233,0.097,1.7028447989867288e-139,0,Meis1
8.800991617194255e-142,0.4866465097856153,0.231,0.097,2.374595548235182e-137,0,Gm49001
3.4372754543587644e-141,0.4569855851987459,0.287,0.134,9.274112903405383e-137,0,Gm14204
4.0727032105158724e-137,0.41168629945672663,0.224,0.093,1.0988560532292875e-132,0,2900079G21Rik
2.542129258063656e-134,0.5875461133340405,0.255,0.116,6.85891895118155e-130,0,Bambi
2.2980965703865688e-132,1.2407774128282694,0.409,0.242,6.200494356560001e-128,0,Med22
1.1628281245743338e-130,0.4141786656297043,0.297,0.145,3.13742656291401e-126,0,Dlx6
9.129622386144888e-130,0.7175469388469795,0.204,0.083,2.4632634160057525e-125,0,Dusp4
3.030120819409906e-119,0.3906821101201407,0.201,0.085,8.175568982849868e-115,0,Adra2b
6.700798886730128e-111,0.3398692357528593,0.308,0.163,1.8079425476286558e-106,0,Shtn1
2.6286125007972507e-100,0.4572907217340451,0.231,0.112,7.092259388401062e-96,0,Tenm4
5.748707645392985e-97,0.2954450544800679,0.164,0.069,1.5510588098034814e-92,0,Zfp618
7.867827138210259e-92,0.5092371042052795,0.357,0.214,2.12281844016051e-87,0,Gm42992
2.855713673154304e-91,0.3780169653648383,0.27,0.144,7.705001061537628e-87,0,Cdc42ep3
1.7712380478544466e-84,0.3253114192928968,0.257,0.138,4.7789773769160824e-80,0,Cd1d1
1.0438937622413054e-81,0.3669818710387003,0.671,0.523,2.8165297599032664e-77,0,Kat6b
6.749063696808714e-79,0.29333301226254127,0.262,0.145,1.8209648760359593e-74,0,Msra
3.882813290585644e-68,0.28701794784499307,0.183,0.094,1.0476218539329125e-63,0,Plcb4
5.5782059010070485e-67,0.3030276627340761,0.242,0.138,1.5050557341507117e-62,0,Lrrc7
1.0427199942858664e-55,0.32087153157368814,0.23,0.137,2.813362816582696e-51,0,Pde4dip
3.7830684114181085e-54,0.2554034267165446,0.419,0.299,1.0207096880847198e-49,0,Mtss1
1.922490239299665e-52,0.2543714045738598,0.23,0.138,5.187070914654426e-48,0,Pak5
3.695248385186505e-44,0.35938702671114076,0.366,0.265,9.97014966807171e-40,0,Rhot1
3.1219105242849464e-38,0.2609375522189491,0.262,0.177,8.423226785573214e-34,0,Kpna4
5.6599899979657694e-36,0.25867198190730223,0.29,0.205,1.5271219013511442e-31,0,Mbtd1
1.3134090484698925e-35,0.27376191291362784,0.17,0.104,3.5437089536766167e-31,0,Sh3gl2
2.8128299577490536e-35,0.40483295795479224,0.404,0.305,7.589296509002721e-31,0,Hdgfl3
7.77559166306376e-33,1.2599364457357352,0.45,0.351,2.097932386611233e-28,0,Gm10558
2.6311214631971114e-29,0.30099774473889884,0.204,0.139,7.099028819852127e-25,0,C130071C03Rik
9.67644528333809e-24,0.47949832410745674,0.113,0.069,2.6108017018974503e-19,0,Tgfb2
6.616775867573536e-20,0.3265043489928203,0.229,0.17,1.785272296830016e-15,0,Asap1
5.868376333942057e-19,0.6658111435157132,0.203,0.149,1.5833466186609062e-14,0,Gm48582
3.3258051361196204e-16,1.6526332674287847,0.089,0.132,8.973354837764348e-12,0,Cnr1
0,9.409776854503242,0.418,0.08,0,1,Gm42692
0,5.873931554086637,0.883,0.641,0,1,Gsk3b
0,3.418393426489417,0.513,0.211,0,1,Dpf1
0,3.1959519863285166,0.864,0.548,0,1,Sp8
0,3.1017925019921124,0.419,0.13,0,1,Frat1
0,2.373609845377887,0.577,0.244,0,1,Myef2
0,1.6036098760798092,0.542,0.211,0,1,Gm44235
0,0.9845414440558526,0.681,0.355,0,1,Paip1
9.946877860712463e-289,0.5743122607843625,0.257,0.062,2.6837671155988296e-284,1,Gm42439
3.888538857967597e-278,2.6536179442627756,0.544,0.259,1.0491666692682373e-273,1,Mcmbp
2.1726008042694264e-234,0.6020344672370979,0.318,0.104,5.861894229999339e-230,1,Gm17066
1.8379813793286107e-215,0.3517871492640672,0.331,0.119,4.959057559566524e-211,1,Ppp6r2
1.6477387279785717e-198,0.660313826734342,0.439,0.194,4.445763861958984e-194,1,Rbm26
6.33458338575453e-186,0.4158983599813908,0.595,0.315,1.7091339433104298e-181,1,Sp9
2.3963998315755e-157,1.9784095527762546,0.172,0.048,6.465726385573857e-153,1,Edaradd
5.135479120648472e-154,2.471083778938323,0.482,0.265,1.3856036215421644e-149,1,Ubash3b
3.5276287455680074e-147,3.6141123749444493,0.746,0.528,9.51789511841704e-143,1,Pbx1
6.223555913856874e-135,0.46958547533609707,0.412,0.216,1.679177621117723e-130,1,Klhl9
2.3472848291278192e-133,0.2783121253184646,0.496,0.268,6.333209197469769e-129,1,Dlx6os1
4.2310970099348213e-131,1.2464450214902278,0.82,0.614,1.1415922842505141e-126,1,Auts2
1.0072909779800942e-129,1.0499773760022069,0.415,0.209,2.717771787688092e-125,1,Tiam2
2.3955245960656876e-128,0.7794283386679702,0.315,0.144,6.463364912644832e-124,1,Hsf2
1.904038309068349e-120,1.0008435928385575,0.603,0.383,5.137285761697312e-116,1,Zfp57
7.086036675611375e-120,0.3045651286922286,0.679,0.501,1.9118835554467051e-115,1,St13
6.560014428048699e-115,0.6726446889982551,0.337,0.161,1.7699574928318194e-110,1,Prokr2
8.474072614274909e-106,0.92704529593806,0.317,0.159,2.2863895320575133e-101,1,Dctn4
3.9608629918978954e-98,0.9754436984585293,0.278,0.136,1.0686804438439712e-93,1,Gatad1
3.037831482391223e-87,0.5724272359004152,0.396,0.226,8.196373122639759e-83,1,Brinp2
1.0311652350966916e-83,3.063280259207312,0.615,0.465,2.782186920814384e-79,1,Kmt2d
5.83781468568356e-82,0.7556235936411615,0.243,0.119,1.5751007803442814e-77,1,Rrn3
1.67297739099688e-79,0.3839857738719523,0.384,0.223,4.513860298648682e-75,1,Grip1
3.203845819633672e-79,0.28466757595723646,0.12,0.04,8.64429640595361e-75,1,Ccdc85c
1.149801226174275e-78,0.4395846228486602,0.518,0.333,3.1022786883408114e-74,1,Robo2
2.0010517456173565e-78,0.7159337920820104,0.545,0.359,5.399037714850189e-74,1,Mir124a-1hg
7.435432955999214e-77,0.29335363600421815,0.115,0.038,2.006154165858148e-72,1,D17H6S53E
1.7527014502632338e-76,1.3064957569687503,0.608,0.455,4.728963782955231e-72,1,Luc7l
5.3798812284568954e-76,0.6856666596163226,0.379,0.222,1.451545754249955e-71,1,Zfp704
4.014366951016555e-75,1.305231796583076,0.142,0.054,1.0831163470537767e-70,1,Rmst
6.730285948467837e-73,1.1797566040881442,0.564,0.394,1.815898451756107e-68,1,Grin2b
2.3369719379235673e-72,1.1640190459724267,0.452,0.301,6.305383985711577e-68,1,Mtss1
2.1226085197318656e-69,0.8538484550846971,0.309,0.18,5.7270100470885465e-65,1,Yod1
8.47568096075127e-65,0.6049558165822897,0.226,0.117,2.2868234800203002e-60,1,Gm37465
1.7662920078592797e-64,0.9953237601096334,0.289,0.166,4.7656324664051225e-60,1,Dennd5b
4.0948191726289827e-63,0.7031315621735255,0.667,0.495,1.1048231609670258e-58,1,Chd3
1.8396206988194114e-60,0.5240897880190936,0.66,0.509,4.963480607484654e-56,1,Ccdc88a
1.8642649259111402e-60,0.38753043452320995,0.202,0.101,5.029973196600847e-56,1,Gm12940
7.01976037576522e-60,0.7090028459823146,0.215,0.112,1.894001546985214e-55,1,Ncoa3
2.1651143627806464e-59,0.842833343417551,0.499,0.356,5.841695062218462e-55,1,Birc6
7.272168754856439e-59,0.384986755350851,0.163,0.075,1.9621038517478158e-54,1,Sec23ip
4.8314581854903e-58,0.3064161398495152,0.273,0.152,1.3035757330271379e-53,1,Dlx6
7.735941627469062e-58,1.9202868243306628,0.422,0.282,2.0872344105074277e-53,1,C130089K02Rik
8.131847303986055e-55,0.8317550769424082,0.235,0.132,2.1940537210884774e-50,1,Gm40309
2.4752383352309865e-54,0.9577651509444847,0.407,0.278,6.678440552286725e-50,1,Ythdf2
1.08193893441195e-53,0.35781876071779883,0.241,0.132,2.9191794389368828e-49,1,Gm27032
3.2353901925770577e-53,0.7396745707579734,0.249,0.144,8.729406278592159e-49,1,Fam219b
3.719587086586553e-53,0.6968935229544435,0.202,0.104,1.0035817918319179e-48,1,Meis1
5.117655920673175e-53,0.3763607397463734,0.254,0.142,1.3807947439568293e-48,1,Gm14204
2.1533199614549698e-51,0.4401909392392303,0.198,0.104,5.809872588001653e-47,1,Sirt6
4.3749249396861194e-51,0.6716806310449535,0.24,0.135,1.180398497976712e-46,1,Sema4b
5.4225597311187e-51,0.4522319868109065,0.216,0.116,1.4630608410531365e-46,1,Gm48259
6.576775365864811e-50,0.3930518689724911,0.702,0.569,1.7744797614639846e-45,1,Tra2b
1.3339087502945275e-47,0.261501771945023,0.329,0.208,3.599019199169665e-43,1,Nol4
4.922530762537428e-47,0.2813970876518038,0.187,0.098,1.3281480250402236e-42,1,Gm37100
1.1939949085595341e-46,0.42268451511460936,0.248,0.143,3.221517662784479e-42,1,Frat2
1.2081313499617647e-46,0.40492624017864554,0.337,0.225,3.2596591953318374e-42,1,Ncs1
1.6597601854149258e-46,0.4168913125245566,0.303,0.188,4.478198956268011e-42,1,Socs2
2.1327859437403676e-46,0.3465287319592375,0.234,0.136,5.754469754805886e-42,1,Rap2b
2.3499240657143228e-46,0.5059634449208326,0.208,0.115,6.340330121703814e-42,1,Zfp532
2.42807973401299e-46,0.778005346196239,0.26,0.161,6.55120193034045e-42,1,Tbck
