p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.589460743763239e-233,-71.45417613437125,0.998,0.991,9.684724032747594e-229,0,H3f3b
5.738739343127642e-220,-79.56542217522176,0.871,0.946,1.548369262169269e-215,0,Rps19
4.898578883418197e-217,-24.478717490561625,0.712,0.865,1.3216855685350638e-212,0,Rps3a1
1.9248344222437415e-205,-22.817114705738355,0.865,0.92,5.193395754655839e-201,0,Eef1a1
4.312724645239478e-195,-37.48405621688224,0.944,0.961,1.1636162365320637e-190,0,Ybx1
3.185887659372201e-186,-31.8348508875656,0.996,0.978,8.595843493752136e-182,0,Ptma
4.490851841708112e-186,-131.25799688109592,1,0.993,1.2116767354112657e-181,0,Tuba1a
4.761346662584432e-183,-140.68333764682097,0.978,0.975,1.2846589430319056e-178,0,Ftl1
7.377485760386212e-176,-59.56715069736835,0.971,0.961,1.9905194330098037e-171,0,Tubb5
1.2266355438802614e-171,-26.464976607551705,0.695,0.848,3.3095853609433335e-167,0,Rplp0
2.314984552818365e-171,-17.171611692319583,0.717,0.849,6.246059821959231e-167,0,Tpt1
4.017061937709998e-169,-29.00157118606264,0.946,0.956,1.0838434814135347e-164,0,Actg1
1.3761632871511827e-167,-38.17420009702477,0.826,0.915,3.7130261650626064e-163,0,Slc25a4
8.239700348233523e-161,-13.153817240928296,0.766,0.874,2.223153550956887e-156,0,Hsp90ab1
3.062473324158673e-155,-51.84380125802258,0.987,0.994,8.262859275912515e-151,0,mt-Nd1
2.533775126668594e-154,-16.18920394827383,0.779,0.882,6.836378669264533e-150,0,Naca
8.364993759678801e-154,-15.273260822112654,0.766,0.867,2.2569589662989373e-149,0,Rpl4
9.949903875799284e-154,-16.91511994255452,0.778,0.873,2.684583564729405e-149,0,Rps24
7.751603960922712e-153,-23.516361774236284,0.832,0.903,2.091460264696557e-148,0,Chchd2
1.296308475704045e-150,-27.519004660715034,0.919,0.946,3.497569898297084e-146,0,Eif1
2.134841457728952e-149,-40.45825780760807,0.93,0.937,5.760015737098485e-145,0,Rpl32
6.039214883217217e-144,-17.707778701991202,0.389,0.644,1.6294405676408375e-139,0,Slc25a5
2.7343800737005704e-142,-20.600924882919124,0.769,0.864,7.37763087685151e-138,0,Rpl8
1.4816181396483392e-141,-47.636435827360074,0.887,0.93,3.997553902585184e-137,0,Cox4i1
2.4807464486916957e-141,-44.46017610119421,0.573,0.758,6.693301993215064e-137,0,Cox5a
2.5766669929953724e-140,1.9209587585437742,0.291,0.098,6.952105213800814e-136,0,Sfrp2
7.872548411425457e-139,-78.23296919294202,0.962,0.965,2.1240922868867026e-134,0,Rpl41
6.167985972369595e-138,-23.049498024770234,0.794,0.885,1.6641842952050404e-133,0,Rpl23
1.277181128310283e-137,-26.74186507001878,0.963,0.964,3.4459624022939745e-133,0,Eif4a1
1.0108271200506499e-136,-22.932696946426187,0.972,0.968,2.7273126526086585e-132,0,Rps14
3.060006233605162e-136,-19.78371373043737,0.939,0.947,8.256202818890088e-132,0,Cfl1
1.2558971871584085e-134,-15.100514461759609,0.644,0.811,3.388536200672102e-130,0,Atp5pb
7.839993754676202e-132,-19.13032605322733,0.94,0.953,2.115308714949186e-127,0,Rps5
1.3793781355447606e-130,-23.128531323570183,0.879,0.918,3.7217001475133183e-126,0,Rps11
